,CODUSU,NRO_HOGAR,IDECIFR_x,IDECIFR_y,GDECIFR_x,GDECIFR_y,PDECIFR_x,PDECIFR_y,IDECCFR_x,IDECCFR_y,GDECCFR_x,GDECCFR_y,PDECCFR_x,PDECCFR_y
37023,TQRMNORVPHJOKNCDEIJAH00802341,1,,,12.0,12.0,,,,,12.0,12.0,,
37024,TQRMNORVPHJOKNCDEIJAH00802341,1,,,12.0,12.0,,,,,12.0,12.0,,
37025,TQRMNORVPHJOKNCDEIJAH00802341,1,,,12.0,12.0,,,,,12.0,12.0,,
37026,TQRMNORVPHJOKNCDEIJAH00802341,1,,,12.0,12.0,,,,,12.0,12.0,,
37027,TQRMNOQXRHLOKUCDEGNFJ00716620,1,8.0,8.0,,,8.0,8.0,7.0,7.0,,,7.0,7.0
37028,TQRMNOQXRHLOKUCDEGNFJ00716620,1,8.0,8.0,,,8.0,8.0,7.0,7.0,,,7.0,7.0
37029,TQRMNOQXRHLOKUCDEGNFJ00716620,1,8.0,8.0,,,8.0,8.0,7.0,7.0,,,7.0,7.0
37030,TQRMNOQPTHJMKSCDEGNFJ00793594,1,10.0,10.0,,,10.0,10.0,8.0,8.0,,,9.0,9.0
37031,TQRMNOQPTHJMKSCDEGNFJ00793594,1,10.0,10.0,,,10.0,10.0,8.0,8.0,,,9.0,9.0
37032,TQRMNOQPTHJMKSCDEGNFJ00793594,1,10.0,10.0,,,10.0,10.0,8.0,8.0,,,9.0,9.0
37033,TQRMNOQPTHJMKSCDEGNFJ00793594,1,10.0,10.0,,,10.0,10.0,8.0,8.0,,,9.0,9.0
37034,TQRMNOPYRHMNLMCDEGNFJ00800187,1,1.0,1.0,,,1.0,1.0,3.0,3.0,,,3.0,3.0
37035,TQRMNOSRVHMNLMCDEGNFJ00800188,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37036,TQRMNOSRVHMNLMCDEGNFJ00800188,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37037,TQRMNOSRVHMNLMCDEGNFJ00800188,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37038,TQRMNOSRVHMNLMCDEGNFJ00800188,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37039,TQRMNOSRVHMNLMCDEGNFJ00800188,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37040,TQRMNOSRVHMNLMCDEGNFJ00800188,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37041,TQRMNOPUPHKLKSCDEGNFJ00778058,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37042,TQRMNOPUPHKLKSCDEGNFJ00778058,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37043,TQRMNOPUPHKLKSCDEGNFJ00778058,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37044,TQRMNOPUPHKLKSCDEGNFJ00778058,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37045,TQRMNORVXHKOKTCDEIJAH00780626,1,,,8.0,8.0,,,,,9.0,9.0,,
37046,TQRMNORVXHKOKTCDEIJAH00780626,1,,,8.0,8.0,,,,,9.0,9.0,,
37047,TQRMNOPUSHLMNSCDEIJAH00719652,1,,,12.0,12.0,,,,,12.0,12.0,,
37048,TQRMNOPUSHLMNSCDEIJAH00719652,1,,,12.0,12.0,,,,,12.0,12.0,,
37049,TQRMNOPUSHLMNSCDEIJAH00719652,1,,,12.0,12.0,,,,,12.0,12.0,,
37050,TQRMNOTTYHLMNTCDEIJAH00719599,1,,,6.0,6.0,,,,,5.0,5.0,,
37051,TQRMNOTTYHLMNTCDEIJAH00719599,1,,,6.0,6.0,,,,,5.0,5.0,,
37052,TQRMNOTTYHLMNTCDEIJAH00719599,1,,,6.0,6.0,,,,,5.0,5.0,,
37053,TQRMNOQQVHLMNUCDEIJAH00718811,1,,,1.0,1.0,,,,,1.0,1.0,,
37054,TQRMNOQQVHLMNUCDEIJAH00718811,1,,,1.0,1.0,,,,,1.0,1.0,,
37055,TQRMNOTSSHJMOSCDEIJAH00796082,1,,,12.0,12.0,,,,,12.0,12.0,,
37056,TQRMNOTSSHJMOSCDEIJAH00796082,1,,,12.0,12.0,,,,,12.0,12.0,,
37057,TQRMNOTSSHJMOSCDEIJAH00796082,1,,,12.0,12.0,,,,,12.0,12.0,,
37058,TQRMNOTSSHJMOSCDEIJAH00796082,1,,,12.0,12.0,,,,,12.0,12.0,,
37059,TQRMNOTWXHJMOSCDEIJAH00796083,1,,,5.0,5.0,,,,,3.0,3.0,,
37060,TQRMNOTWXHJMOSCDEIJAH00796083,1,,,5.0,5.0,,,,,3.0,3.0,,
37061,TQRMNOTWXHJMOSCDEIJAH00796083,1,,,5.0,5.0,,,,,3.0,3.0,,
37062,TQRMNOTWXHJMOSCDEIJAH00796083,1,,,5.0,5.0,,,,,3.0,3.0,,
37063,TQRMNOQUWHKNKMCDEIOAH00786945,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37064,TQRMNOQUWHKNKMCDEIOAH00786945,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37065,TQRMNOQUWHKNKMCDEIOAH00786945,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37066,TQRMNOQUWHKNKMCDEIOAH00786945,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37067,TQRMNOQUWHKNKMCDEIOAH00786945,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37068,TQRMNOSYWHLONOCDEIIAD00718440,1,,,12.0,12.0,,,,,12.0,12.0,,
37069,TQRMNOSYWHLONOCDEIIAD00718440,1,,,12.0,12.0,,,,,12.0,12.0,,
37070,TQRMNOSYWHLONOCDEIIAD00718440,1,,,12.0,12.0,,,,,12.0,12.0,,
37071,TQRMNOPRTHKLNOCDEIIAD00780004,1,,,3.0,3.0,,,,,4.0,4.0,,
37072,TQRMNOPRTHKLNOCDEIIAD00780004,1,,,3.0,3.0,,,,,4.0,4.0,,
37073,TQRMNORVRHJMLOCDEIJAH00802360,1,,,6.0,6.0,,,,,3.0,3.0,,
37074,TQRMNORVRHJMLOCDEIJAH00802360,1,,,6.0,6.0,,,,,3.0,3.0,,
37075,TQRMNORVRHJMLOCDEIJAH00802360,1,,,6.0,6.0,,,,,3.0,3.0,,
37076,TQRMNORVRHJMLOCDEIJAH00802360,1,,,6.0,6.0,,,,,3.0,3.0,,
37077,TQRMNORQTHJMLQCDEIJAH00793388,1,,,9.0,9.0,,,,,7.0,7.0,,
37078,TQRMNORQTHJMLQCDEIJAH00793388,1,,,9.0,9.0,,,,,7.0,7.0,,
37079,TQRMNORQTHJMLQCDEIJAH00793388,1,,,9.0,9.0,,,,,7.0,7.0,,
37080,TQRMNORQTHJMLQCDEIJAH00793388,1,,,9.0,9.0,,,,,7.0,7.0,,
37081,TQRMNORRPHJKKOCDEIMBF00796837,1,6.0,6.0,,,7.0,7.0,3.0,3.0,,,3.0,3.0
37082,TQRMNORRPHJKKOCDEIMBF00796837,1,6.0,6.0,,,7.0,7.0,3.0,3.0,,,3.0,3.0
37083,TQRMNORRPHJKKOCDEIMBF00796837,1,6.0,6.0,,,7.0,7.0,3.0,3.0,,,3.0,3.0
37084,TQRMNORRPHJKKOCDEIMBF00796837,1,6.0,6.0,,,7.0,7.0,3.0,3.0,,,3.0,3.0
37085,TQRMNORRPHJKKOCDEIMBF00796837,1,6.0,6.0,,,7.0,7.0,3.0,3.0,,,3.0,3.0
37086,TQRMNOQUWHMMKRCDEIMBF00802848,1,6.0,6.0,,,6.0,6.0,7.0,7.0,,,7.0,7.0
37087,TQRMNOQUWHMMKRCDEIMBF00802848,1,6.0,6.0,,,6.0,6.0,7.0,7.0,,,7.0,7.0
37088,TQRMNOTRPHLNOTCDEIJAH00719571,1,,,12.0,12.0,,,,,12.0,12.0,,
37089,TQRMNOTRPHLNOTCDEIJAH00719571,1,,,12.0,12.0,,,,,12.0,12.0,,
37090,TQRMNOQVUHLLLQCDEIJAH00780273,1,,,12.0,12.0,,,,,12.0,12.0,,
37091,TQRMNOSRXHLOLSCDEIJAH00780437,1,,,5.0,5.0,,,,,3.0,3.0,,
37092,TQRMNOSRXHLOLSCDEIJAH00780437,1,,,5.0,5.0,,,,,3.0,3.0,,
37093,TQRMNOSRXHLOLSCDEIJAH00780437,1,,,5.0,5.0,,,,,3.0,3.0,,
37094,TQRMNOSRXHLOLSCDEIJAH00780437,1,,,5.0,5.0,,,,,3.0,3.0,,
37095,TQRMNOSWVHLMLTCDEIJAH00802368,1,,,8.0,8.0,,,,,7.0,7.0,,
37096,TQRMNOSWVHLMLTCDEIJAH00802368,1,,,8.0,8.0,,,,,7.0,7.0,,
